"","average","sd","ratio","ava","avb","cumsum","contrib","Domain","Phylum","Class","Order","Family","Genus","Species"
"8343cf4c26bb977e05e4d9c5125441ef",0.000103397811147875,0.000183742732188571,0.562731433871138,0,3.25,0.974643536607819,0.000332426405908026,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Porphyromonadaceae","D_5__Parabacteroides","D_6__uncultured organism"
"09b13a3869fd22a3eb46580801bcb4cb",0.000103397811147875,0.000183742732188571,0.562731433871138,0,3.25,0.974975963013727,0.000332426405908026,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae NK4A214 group","D_6__uncultured bacterium"
"7acccd3718e3431e05ad638784ea9ba5",0.000103397811147875,0.000111590440896258,0.926583050639618,0,3.25,0.975308389419635,0.000332426405907915,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","unclassified","unclassified"
"9d5054752ed33d6a22bd0f96b5618b1c",0.000103397811147875,0.000183742732188571,0.562731433871138,0,3.25,0.975640815825543,0.000332426405908026,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidaceae","D_5__Bacteroides","unclassified"
"cb1abf418422e26cfb437c2a36fa1ee9",0.000103397811147875,0.000183742732188571,0.562731433871138,0,3.25,0.975973242231451,0.000332426405908026,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidales S24-7 group","unclassified","unclassified"
"a2d3eef1cbea242f8ace885a5254b147",0.000103397811147875,0.000183742732188571,0.562731433871138,0,3.25,0.976305668637359,0.000332426405907915,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Clostridiales vadinBB60 group","unclassified","unclassified"
"a295f1a36f5c6b35c15d0d0dee118b08",0.000101807075591754,0.000127926874510062,0.795822425754221,3.2,0,0.976632980790868,0.000327312153509451,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Peptococcaceae","D_5__Peptococcus","unclassified"
"c130ff4bc4f4b06b3e42f5c64b6ee6a0",0.000101807075591754,0.000101450629170518,1.00351349640855,1.4,3,0.976960292944377,0.00032731215350934,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidales S24-7 group","unclassified","unclassified"
"8306e6c44e5ad0b727a1843d6b05767e",0.000101807075591754,0.000208903711292472,0.487339717240448,3.2,0,0.977287605097887,0.000327312153509451,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnospiraceae UCG-001","D_6__uncultured bacterium"
"ee65b40f0f93fae792212b6a8e3dd7bc",0.000100216340035632,0.000142756301187673,0.702009923217921,2.4,1.25,0.977609802998998,0.000322197901110766,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","unclassified","unclassified"
"29b409fbb9e15001a5d02bc1bb23e80b",9.5444133367269e-05,0.000195847229336693,0.487339717240448,3,0,0.977916658142913,0.000306855143915041,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","unclassified","unclassified"
"1eaa3cb7baaac3220b0606e3621afd16",9.5444133367269e-05,0.000108258629323416,0.881630720467888,0,3,0.978223513286828,0.000306855143915152,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Rikenellaceae","D_5__Alistipes","unclassified"
